"","A","S","E","O","R","T"
"2642","adult","M","high","emp","big","car"
"2643","young","M","high","emp","big","train"
"2644","adult","M","uni","emp","big","train"
"2645","young","M","high","emp","small","train"
"2646","adult","M","high","emp","big","car"
"2647","young","F","uni","emp","big","train"
"2648","old","M","high","emp","small","train"
"2649","young","F","high","emp","big","car"
"2650","young","M","uni","emp","big","car"
"2651","adult","M","high","emp","big","car"
"2652","adult","F","high","emp","small","other"
"2653","adult","M","uni","emp","small","car"
"2654","adult","M","high","emp","small","car"
"2655","young","M","high","emp","small","car"
"2656","adult","F","high","emp","big","car"
"2657","young","M","high","emp","big","car"
"2658","adult","M","high","emp","big","car"
"2659","adult","F","high","emp","big","car"
"2660","old","M","high","emp","big","car"
"2661","young","F","high","emp","big","other"
"2662","adult","M","high","emp","big","train"
"2663","adult","M","uni","emp","big","train"
"2664","adult","F","high","emp","big","train"
"2665","adult","F","high","emp","big","car"
"2666","adult","M","high","emp","big","car"
"2667","adult","M","high","emp","big","train"
"2668","old","M","high","emp","big","train"
"2669","young","M","uni","emp","big","other"
"2670","adult","M","high","emp","big","other"
"2671","adult","M","uni","emp","big","car"
"2672","old","F","high","emp","big","car"
"2673","adult","F","high","emp","small","car"
"2674","old","M","high","emp","big","car"
"2675","adult","M","high","emp","big","car"
"2676","adult","F","high","emp","small","car"
"2677","adult","F","uni","emp","big","train"
"2678","adult","F","high","emp","big","car"
"2679","adult","M","uni","emp","big","other"
"2680","young","M","high","emp","small","train"
"2681","old","M","high","emp","big","car"
"2682","old","F","high","emp","small","train"
"2683","adult","M","high","emp","big","car"
"2684","old","M","high","emp","big","other"
"2685","young","M","high","emp","small","other"
"2686","old","M","high","emp","small","car"
"2687","old","M","high","emp","big","train"
"2688","young","M","high","emp","big","train"
"2689","young","M","uni","emp","small","car"
"2690","young","M","high","emp","big","car"
"2691","young","M","uni","emp","big","car"
"2692","young","F","high","emp","big","train"
"2693","adult","M","high","emp","big","car"
"2694","adult","F","uni","emp","small","car"
"2695","old","F","high","emp","small","car"
"2696","young","M","high","emp","big","train"
"2697","old","F","high","emp","big","car"
"2698","adult","M","uni","emp","big","car"
"2699","young","F","uni","emp","big","other"
"2700","old","F","high","emp","big","car"
"2701","adult","M","high","emp","small","train"
"2702","young","F","uni","emp","small","train"
"2703","old","F","high","emp","big","other"
"2704","adult","F","high","emp","big","train"
"2705","young","M","high","emp","big","train"
"2706","young","M","high","emp","big","train"
"2707","young","F","high","emp","big","car"
"2708","young","F","high","emp","small","car"
"2709","adult","M","high","emp","small","train"
"2710","adult","F","high","emp","small","other"
"2711","old","F","high","emp","big","other"
"2712","adult","M","high","emp","big","car"
"2713","adult","M","uni","emp","big","car"
"2714","young","M","high","emp","small","car"
"2715","adult","M","high","emp","small","car"
"2716","old","F","high","self","big","train"
"2717","adult","F","uni","emp","big","other"
"2718","young","F","uni","emp","small","train"
"2719","young","M","high","emp","big","car"
"2720","young","F","high","emp","big","car"
"2721","old","M","high","emp","big","other"
"2722","adult","F","high","emp","small","train"
"2723","young","M","high","emp","big","car"
"2724","adult","M","high","emp","big","car"
"2725","adult","F","high","emp","big","car"
"2726","old","F","high","emp","big","car"
"2727","adult","F","high","emp","small","car"
"2728","old","F","high","emp","big","car"
"2729","young","M","high","emp","big","other"
"2730","old","F","high","emp","big","other"
"2731","old","F","high","emp","big","car"
"2732","adult","M","high","emp","big","train"
"2733","young","M","high","emp","big","car"
"2734","old","M","high","emp","big","car"
"2735","adult","F","high","emp","big","train"
"2736","young","M","high","emp","big","other"
"2737","adult","F","high","emp","big","car"
"2738","adult","M","high","emp","small","car"
"2739","young","M","high","emp","big","car"
"2740","adult","F","high","emp","big","car"
"2741","young","F","uni","emp","big","car"
"2742","adult","F","uni","emp","big","car"
"2743","young","F","uni","emp","big","train"
"2744","adult","F","uni","self","big","other"
"2745","old","M","high","emp","big","car"
"2746","adult","M","high","emp","big","car"
"2747","young","M","high","emp","big","car"
"2748","adult","F","uni","self","big","car"
"2749","adult","F","high","emp","big","car"
"2750","old","F","high","emp","big","other"
"2751","adult","F","high","emp","big","car"
"2752","adult","M","high","emp","big","car"
"2753","young","F","high","emp","small","car"
"2754","old","F","uni","emp","small","car"
"2755","young","M","high","emp","big","car"
"2756","adult","M","high","emp","big","car"
"2757","adult","M","high","emp","big","car"
"2758","adult","M","high","emp","big","other"
"2759","adult","F","uni","emp","big","car"
"2760","young","M","high","emp","small","train"
"2761","young","F","high","emp","small","train"
"2762","adult","F","high","self","big","car"
"2763","young","M","uni","emp","small","train"
"2764","adult","M","uni","emp","big","car"
"2765","young","M","uni","emp","big","other"
"2766","adult","M","uni","emp","big","car"
"2767","young","F","uni","emp","big","train"
"2768","adult","F","uni","emp","big","other"
"2769","old","F","uni","emp","big","train"
"2770","old","M","high","emp","small","car"
"2771","adult","F","high","emp","small","car"
"2772","adult","M","high","emp","big","train"
"2773","adult","M","high","emp","big","train"
"2774","young","F","high","emp","small","train"
"2775","adult","M","high","emp","small","train"
"2776","adult","F","high","emp","small","other"
"2777","young","F","uni","emp","big","other"
"2778","young","F","high","emp","big","train"
"2779","adult","M","high","emp","big","other"
"2780","old","M","high","emp","small","train"
"2781","old","M","high","emp","big","car"
"2782","adult","M","uni","self","big","car"
"2783","adult","F","uni","emp","big","car"
"2784","adult","M","uni","emp","big","car"
"2785","adult","F","high","emp","big","car"
"2786","young","M","high","emp","small","train"
"2787","adult","M","uni","emp","big","car"
"2788","adult","F","uni","emp","small","car"
"2789","adult","M","high","emp","big","car"
"2790","young","F","high","emp","small","train"
"2791","old","F","high","emp","small","train"
"2792","adult","M","high","emp","big","car"
"2793","adult","M","high","self","small","train"
"2794","young","F","uni","emp","small","car"
"2795","adult","M","uni","emp","big","car"
"2796","adult","M","high","emp","big","train"
"2797","adult","M","high","emp","small","car"
"2798","adult","M","high","emp","small","car"
"2799","young","F","high","emp","small","train"
"2800","adult","M","high","emp","big","car"
"2801","young","M","high","emp","big","train"
"2802","young","F","uni","emp","big","other"
"2803","adult","M","high","emp","big","car"
"2804","adult","M","high","emp","big","car"
"2805","adult","F","high","emp","big","car"
"2806","adult","F","uni","emp","small","car"
"2807","young","M","high","emp","big","car"
"2808","young","M","high","emp","big","train"
"2809","adult","M","high","emp","big","car"
"2810","old","M","high","emp","big","other"
"2811","adult","M","uni","emp","small","other"
"2812","young","M","high","emp","big","car"
"2813","adult","M","high","emp","small","train"
"2814","young","F","uni","emp","big","car"
"2815","old","M","high","emp","big","car"
"2816","young","M","high","emp","big","other"
"2817","old","M","high","emp","big","car"
"2818","young","F","high","emp","big","car"
"2819","adult","M","high","emp","big","car"
"2820","old","M","high","emp","big","car"
"2821","old","F","high","emp","big","car"
"2822","young","F","high","emp","small","train"
"2823","old","F","high","emp","big","car"
"2824","young","M","uni","emp","big","other"
"2825","young","F","high","emp","small","train"
"2826","adult","F","high","emp","small","train"
"2827","adult","F","high","emp","big","train"
"2828","young","M","high","emp","big","car"
"2829","young","F","high","emp","big","train"
"2830","adult","M","high","emp","small","car"
"2831","young","M","uni","emp","big","car"
"2832","young","M","high","emp","big","train"
"2833","adult","M","uni","self","big","train"
"2834","adult","M","high","self","small","car"
"2835","young","M","high","emp","big","car"
"2836","young","M","high","emp","big","train"
"2837","old","M","high","emp","big","car"
"2838","adult","F","high","emp","big","car"
"2839","adult","F","high","emp","big","car"
"2840","old","F","high","emp","small","other"
"2841","adult","M","uni","emp","big","car"
"2842","adult","M","uni","emp","big","other"
"2843","young","M","uni","emp","big","car"
"2844","young","M","high","emp","big","other"
"2845","adult","M","high","emp","big","car"
"2846","adult","M","high","emp","big","car"
"2847","adult","M","high","emp","big","other"
"2848","old","F","high","emp","big","other"
"2849","young","F","high","emp","big","car"
"2850","adult","M","high","emp","big","car"
"2851","young","F","high","emp","big","train"
"2852","old","M","high","emp","big","train"
"2853","young","M","high","emp","big","car"
"2854","young","M","high","emp","big","other"
"2855","adult","M","high","emp","small","car"
"2856","adult","M","high","emp","small","car"
"2857","young","M","high","emp","small","car"
"2858","adult","M","high","emp","big","car"
"2859","young","F","uni","emp","big","car"
"2860","young","F","high","emp","big","train"
"2861","old","M","high","emp","big","car"
"2862","adult","F","high","emp","big","train"
"2863","adult","M","high","emp","big","train"
"2864","adult","F","uni","emp","small","car"
"2865","adult","F","high","emp","big","other"
"2866","adult","M","high","emp","big","car"
"2867","old","F","high","emp","big","car"
"2868","adult","M","high","emp","big","train"
"2869","young","M","high","emp","big","car"
"2870","adult","M","high","emp","small","train"
"2871","old","M","high","emp","small","car"
"2872","old","M","high","self","big","train"
"2873","old","F","high","emp","big","train"
"2874","adult","F","high","emp","big","car"
"2875","old","M","high","emp","big","train"
"2876","young","M","uni","emp","big","car"
"2877","adult","F","uni","emp","small","car"
"2878","old","M","high","emp","big","car"
"2879","old","M","high","emp","big","car"
"2880","adult","M","high","emp","big","other"
"2881","old","M","uni","emp","big","car"
"2882","old","M","high","emp","big","train"
"2883","adult","M","high","emp","big","car"
"2884","adult","F","high","emp","big","train"
"2885","young","F","high","emp","big","other"
"2886","young","M","high","emp","big","car"
"2887","adult","M","high","emp","big","other"
"2888","young","M","high","emp","big","car"
"2889","young","M","high","emp","big","car"
"2890","old","M","uni","emp","small","car"
"2891","old","M","high","emp","small","car"
"2892","old","F","high","emp","big","car"
"2893","young","M","high","emp","big","car"
"2894","young","F","high","emp","small","car"
"2895","adult","F","uni","emp","big","car"
"2896","old","F","high","emp","big","car"
"2897","old","M","high","emp","small","car"
"2898","young","F","high","emp","big","car"
"2899","young","M","uni","emp","small","train"
"2900","adult","M","high","emp","small","car"
"2901","old","F","high","emp","small","other"
"2902","old","F","uni","emp","big","car"
"2903","old","M","high","emp","big","car"
"2904","young","F","uni","emp","big","other"
"2905","young","F","high","emp","big","car"
"2906","young","M","high","self","big","car"
"2907","adult","F","uni","emp","big","train"
"2908","old","M","high","emp","big","car"
"2909","adult","F","high","emp","big","car"
"2910","young","M","uni","emp","big","car"
"2911","young","F","high","emp","big","car"
"2912","adult","M","high","emp","big","other"
"2913","young","M","uni","emp","big","car"
"2914","young","M","uni","emp","big","other"
"2915","adult","M","high","self","small","car"
"2916","adult","M","high","emp","big","train"
"2917","old","F","high","emp","big","car"
"2918","old","M","high","emp","small","train"
"2919","old","M","high","emp","big","train"
"2920","young","F","uni","emp","small","train"
"2921","adult","M","high","emp","big","other"
"2922","adult","M","high","emp","small","car"
"2923","old","M","high","emp","small","train"
"2924","old","F","uni","self","big","car"
"2925","adult","M","uni","emp","big","car"
"2926","adult","F","uni","emp","big","car"
"2927","adult","M","high","emp","big","other"
"2928","old","F","high","emp","big","other"
"2929","young","M","high","emp","big","car"
"2930","adult","M","uni","emp","big","train"
"2931","adult","M","high","emp","big","other"
"2932","adult","M","high","emp","big","car"
"2933","adult","M","high","emp","small","car"
"2934","young","F","uni","emp","big","car"
"2935","adult","M","uni","emp","small","car"
"2936","old","F","high","self","big","car"
"2937","adult","M","high","emp","big","car"
"2938","old","M","high","emp","big","car"
"2939","young","M","high","emp","small","car"
"2940","old","M","high","emp","big","car"
"2941","adult","F","uni","emp","big","car"
"2942","young","F","high","self","small","train"
"2943","old","F","high","emp","big","car"
"2944","old","M","high","emp","small","train"
"2945","adult","M","uni","emp","small","train"
"2946","adult","F","high","emp","small","car"
"2947","young","M","high","emp","big","train"
"2948","young","F","high","emp","big","car"
"2949","young","M","high","emp","big","train"
"2950","young","M","high","emp","big","other"
"2951","adult","F","high","emp","big","car"
"2952","adult","M","high","emp","big","car"
"2953","adult","F","high","emp","small","car"
"2954","adult","F","high","emp","big","car"
"2955","adult","M","uni","self","small","car"
"2956","old","F","high","emp","big","other"
"2957","adult","M","uni","emp","big","car"
"2958","old","M","high","self","big","car"
"2959","adult","M","high","emp","big","car"
"2960","young","F","uni","emp","big","car"
"2961","young","M","uni","emp","big","car"
"2962","young","M","high","emp","big","car"
"2963","young","F","uni","emp","big","car"
"2964","adult","F","uni","emp","small","car"
"2965","young","M","high","emp","big","train"
"2966","adult","M","high","emp","big","other"
"2967","old","M","uni","emp","big","car"
"2968","old","F","high","emp","small","train"
"2969","young","M","uni","emp","big","train"
"2970","old","M","high","emp","big","car"
"2971","old","F","high","emp","big","train"
"2972","adult","F","high","emp","small","train"
"2973","adult","F","high","emp","big","car"
"2974","adult","F","high","emp","big","car"
"2975","young","M","high","emp","big","car"
"2976","old","M","high","emp","small","car"
"2977","adult","F","high","emp","small","car"
"2978","young","F","high","emp","big","car"
"2979","young","F","high","emp","small","train"
"2980","young","M","uni","self","big","other"
"2981","young","M","high","emp","small","other"
"2982","young","M","high","emp","big","other"
"2983","old","F","high","emp","big","car"
"2984","young","F","high","emp","big","car"
"2985","old","F","uni","emp","big","train"
"2986","adult","M","high","emp","big","car"
"2987","young","M","high","emp","big","car"
"2988","adult","M","high","emp","small","train"
"2989","young","M","high","emp","big","train"
"2990","young","F","high","emp","big","car"
"2991","young","M","uni","emp","big","other"
"2992","adult","M","high","emp","big","car"
"2993","adult","F","high","emp","big","train"
"2994","old","M","high","emp","big","car"
"2995","adult","M","high","emp","small","car"
"2996","young","F","high","emp","small","train"
"2997","young","M","uni","emp","big","other"
"2998","young","M","high","emp","small","car"
"2999","old","F","high","emp","big","car"
"3000","old","M","high","emp","small","other"
"3001","adult","F","high","emp","small","other"
"3002","young","M","uni","emp","big","other"
"3003","young","F","high","emp","big","other"
"3004","adult","M","uni","self","small","train"
"3005","adult","M","high","emp","big","other"
"3006","adult","M","high","emp","big","car"
"3007","old","F","high","self","big","car"
"3008","adult","M","high","emp","big","car"
"3009","young","M","high","emp","big","other"
"3010","young","M","high","emp","big","train"
"3011","old","M","uni","emp","small","car"
"3012","adult","F","uni","emp","big","other"
"3013","old","F","high","emp","big","car"
"3014","old","M","high","emp","big","car"
"3015","adult","M","high","emp","big","train"
"3016","young","M","high","emp","big","train"
"3017","adult","F","high","emp","big","car"
"3018","old","F","uni","emp","big","train"
"3019","adult","M","high","emp","big","train"
"3020","adult","F","high","emp","small","car"
"3021","adult","M","high","emp","big","car"
"3022","adult","M","uni","emp","big","other"
"3023","young","F","high","emp","big","car"
"3024","old","F","high","emp","big","car"
"3025","young","M","uni","emp","big","train"
"3026","adult","F","uni","emp","big","car"
"3027","adult","F","uni","emp","big","other"
"3028","young","M","high","emp","big","car"
"3029","old","M","high","emp","big","train"
"3030","young","F","high","emp","big","car"
"3031","adult","M","high","emp","small","car"
"3032","old","M","high","emp","big","car"
"3033","old","F","uni","emp","big","other"
"3034","adult","M","high","emp","big","car"
"3035","old","F","high","emp","small","car"
"3036","young","M","high","emp","big","train"
"3037","young","F","high","emp","big","other"
"3038","young","M","uni","emp","small","train"
"3039","old","M","high","emp","small","car"
"3040","old","F","uni","self","big","car"
"3041","young","M","high","emp","small","other"
"3042","adult","F","high","emp","big","car"
"3043","young","M","high","emp","big","car"
"3044","adult","M","high","emp","big","car"
"3045","adult","F","uni","emp","big","train"
"3046","young","M","uni","emp","big","car"
"3047","old","M","high","emp","big","car"
"3048","young","M","uni","emp","small","train"
"3049","adult","M","high","emp","big","car"
"3050","old","M","high","emp","big","car"
"3051","adult","F","high","emp","big","car"
"3052","adult","M","high","emp","small","train"
"3053","adult","M","uni","emp","big","train"
"3054","adult","M","uni","emp","big","other"
"3055","young","M","uni","emp","big","car"
"3056","adult","M","high","emp","big","other"
"3057","adult","F","uni","emp","big","car"
"3058","young","M","high","emp","big","car"
"3059","adult","F","uni","emp","big","car"
"3060","adult","F","high","emp","big","other"
"3061","adult","F","uni","emp","big","train"
"3062","old","F","high","emp","big","train"
"3063","young","M","uni","emp","big","train"
"3064","young","M","high","self","big","car"
"3065","adult","M","uni","emp","big","car"
"3066","adult","F","high","emp","big","car"
"3067","old","M","uni","emp","big","train"
"3068","young","F","uni","emp","big","other"
"3069","adult","F","high","emp","small","train"
"3070","adult","F","high","emp","big","other"
"3071","adult","F","high","emp","big","car"
"3072","adult","M","high","emp","small","car"
"3073","young","M","high","emp","big","car"
"3074","adult","M","high","emp","big","other"
"3075","young","F","high","emp","small","car"
"3076","old","F","high","emp","small","car"
"3077","adult","M","uni","emp","big","car"
"3078","old","M","high","emp","big","train"
"3079","adult","F","high","emp","big","car"
"3080","adult","F","high","emp","big","train"
"3081","adult","F","high","emp","big","train"
"3082","young","M","high","emp","small","car"
"3083","adult","M","high","emp","big","car"
"3084","adult","M","high","emp","big","train"
"3085","adult","M","high","emp","big","car"
"3086","adult","M","high","emp","big","car"
"3087","adult","F","high","emp","small","car"
"3088","young","M","high","emp","small","train"
"3089","adult","F","high","emp","big","train"
"3090","adult","F","high","emp","small","car"
"3091","adult","M","uni","emp","small","car"
"3092","adult","M","uni","emp","big","other"
"3093","young","M","high","emp","big","other"
"3094","adult","M","high","emp","big","train"
"3095","adult","F","high","emp","small","train"
"3096","adult","F","high","emp","big","train"
"3097","young","M","high","emp","small","train"
"3098","adult","M","uni","emp","big","car"
"3099","young","F","uni","emp","big","car"
"3100","adult","F","high","emp","big","car"
"3101","adult","M","uni","emp","big","car"
"3102","adult","M","high","emp","big","car"
"3103","adult","M","high","emp","big","train"
"3104","adult","M","uni","emp","big","other"
"3105","adult","M","high","emp","big","car"
"3106","old","F","high","emp","big","train"
"3107","old","M","high","emp","big","train"
"3108","young","F","uni","emp","big","car"
"3109","adult","M","high","emp","big","other"
"3110","young","M","high","emp","small","train"
"3111","old","M","uni","emp","big","car"
"3112","young","M","uni","emp","big","car"
"3113","adult","F","uni","emp","big","car"
"3114","young","M","high","emp","big","car"
"3115","old","M","high","emp","small","car"
"3116","young","F","high","emp","big","other"
"3117","old","F","high","emp","small","car"
"3118","adult","F","high","emp","big","car"
"3119","young","M","uni","emp","big","other"
"3120","old","M","high","emp","big","other"
"3121","young","M","high","emp","small","car"
"3122","young","F","high","emp","small","train"
"3123","adult","F","uni","emp","big","train"
"3124","adult","M","uni","emp","big","car"
"3125","young","F","high","emp","big","train"
"3126","old","F","high","emp","big","train"
"3127","adult","F","uni","emp","big","other"
"3128","young","M","uni","emp","big","train"
"3129","adult","M","high","emp","big","train"
"3130","young","M","high","emp","big","other"
"3131","adult","F","high","emp","big","train"
"3132","adult","F","high","emp","big","car"
"3133","adult","F","high","emp","big","train"
"3134","adult","F","high","emp","small","train"
"3135","young","M","high","emp","big","car"
"3136","adult","M","high","emp","small","car"
"3137","adult","F","high","emp","small","car"
"3138","young","M","high","emp","big","car"
"3139","old","M","high","emp","big","car"
"3140","young","M","high","self","small","train"
"3141","young","M","high","emp","small","car"
"3142","adult","F","uni","self","big","car"
"3143","young","M","high","emp","big","car"
"3144","young","F","uni","emp","big","car"
"3145","young","M","high","emp","small","train"
"3146","adult","M","uni","emp","big","car"
"3147","adult","M","uni","emp","big","train"
"3148","old","M","high","self","big","car"
"3149","old","M","high","emp","small","other"
"3150","adult","F","uni","emp","big","other"
"3151","young","F","high","emp","big","other"
"3152","old","M","high","emp","big","other"
"3153","young","M","high","emp","small","car"
"3154","young","M","high","emp","big","car"
"3155","adult","M","uni","emp","big","car"
"3156","adult","M","high","emp","big","other"
"3157","adult","M","uni","emp","big","train"
"3158","old","F","high","self","big","car"
"3159","young","M","uni","emp","big","car"
"3160","adult","F","high","emp","big","car"
"3161","young","M","high","emp","big","other"
"3162","old","F","high","self","big","car"
"3163","young","M","high","emp","big","car"
"3164","adult","M","uni","emp","big","car"
"3165","young","M","high","emp","small","train"
"3166","adult","F","high","emp","big","car"
"3167","adult","F","high","emp","small","car"
"3168","adult","F","high","emp","big","train"
"3169","young","M","high","emp","big","car"
"3170","adult","M","high","emp","big","other"
"3171","young","M","uni","emp","big","car"
"3172","adult","M","high","emp","big","car"
"3173","adult","M","uni","emp","big","other"
"3174","adult","M","high","emp","big","car"
"3175","adult","F","high","emp","big","train"
"3176","young","F","uni","emp","big","car"
"3177","young","M","high","emp","big","car"
"3178","young","F","high","emp","big","car"
"3179","young","M","high","emp","small","car"
"3180","old","F","high","emp","big","other"
"3181","adult","M","high","emp","small","car"
"3182","adult","F","high","emp","big","train"
"3183","young","F","uni","emp","big","train"
"3184","young","F","high","emp","small","car"
"3185","adult","M","uni","emp","big","train"
"3186","adult","M","high","emp","small","train"
"3187","adult","M","high","emp","small","train"
"3188","old","M","high","emp","big","train"
"3189","adult","F","uni","self","big","car"
"3190","young","M","high","emp","big","car"
"3191","adult","F","uni","emp","big","other"
"3192","young","M","high","emp","big","other"
"3193","old","F","uni","emp","big","train"
"3194","young","F","high","emp","big","car"
"3195","old","M","high","emp","small","train"
"3196","adult","F","high","emp","big","train"
"3197","old","M","high","self","big","car"
"3198","young","F","high","emp","big","car"
"3199","adult","M","high","emp","big","train"
"3200","young","F","uni","emp","big","train"
"3201","young","F","high","emp","big","car"
"3202","adult","M","uni","emp","big","car"
"3203","adult","M","high","emp","big","other"
"3204","adult","F","high","emp","big","car"
"3205","adult","M","high","emp","big","car"
"3206","adult","M","uni","emp","big","train"
"3207","old","M","high","emp","small","train"
"3208","adult","F","uni","self","small","other"
"3209","adult","M","high","emp","big","train"
"3210","old","M","uni","emp","big","car"
"3211","young","M","uni","emp","big","train"
"3212","young","M","high","emp","big","car"
"3213","adult","M","high","emp","big","train"
"3214","adult","M","high","emp","small","train"
"3215","young","M","high","emp","big","car"
"3216","young","M","uni","emp","big","car"
"3217","old","F","high","emp","big","car"
"3218","young","F","high","emp","big","car"
"3219","young","F","high","emp","small","car"
"3220","adult","M","high","emp","big","train"
"3221","old","M","high","emp","big","car"
"3222","adult","F","uni","emp","big","car"
"3223","young","M","high","emp","big","car"
"3224","adult","M","high","emp","big","car"
"3225","young","M","high","emp","big","train"
"3226","adult","F","uni","self","small","train"
"3227","young","M","uni","emp","big","train"
"3228","adult","M","high","emp","big","car"
"3229","adult","F","uni","emp","big","other"
"3230","young","M","high","emp","big","car"
"3231","old","M","high","emp","big","car"
"3232","young","F","high","emp","big","car"
"3233","old","F","high","emp","big","car"
"3234","young","M","high","emp","small","car"
"3235","adult","M","uni","emp","small","car"
"3236","adult","F","high","emp","big","car"
"3237","adult","F","uni","emp","big","other"
"3238","young","M","high","emp","big","car"
"3239","young","M","high","emp","big","train"
"3240","old","M","high","emp","big","car"
"3241","old","F","high","emp","small","other"
"3242","adult","F","high","emp","big","train"
"3243","old","M","high","emp","big","car"
"3244","adult","M","high","emp","big","car"
"3245","adult","M","uni","emp","small","train"
"3246","young","F","high","emp","big","car"
"3247","young","M","high","emp","big","train"
"3248","young","M","uni","emp","big","car"
"3249","young","F","high","emp","big","car"
"3250","adult","M","high","emp","big","train"
"3251","old","M","high","emp","big","car"
"3252","young","M","high","emp","big","car"
"3253","adult","M","high","emp","big","train"
"3254","young","F","uni","emp","big","car"
"3255","adult","M","uni","emp","big","car"
"3256","adult","M","high","emp","big","car"
"3257","adult","M","high","emp","big","other"
"3258","old","M","high","emp","big","car"
"3259","adult","F","high","emp","big","car"
"3260","adult","F","high","emp","big","train"
"3261","adult","M","high","emp","big","car"
"3262","young","F","high","emp","big","car"
"3263","young","M","uni","emp","big","other"
"3264","adult","M","high","emp","big","car"
"3265","old","F","high","emp","big","train"
"3266","adult","F","high","emp","big","car"
"3267","adult","M","uni","emp","big","train"
"3268","adult","M","high","emp","big","train"
"3269","adult","M","uni","emp","big","car"
"3270","adult","M","high","emp","big","car"
"3271","young","F","high","emp","small","train"
"3272","young","F","uni","emp","small","car"
"3273","adult","M","high","emp","big","other"
"3274","adult","F","high","emp","small","train"
"3275","adult","M","uni","emp","big","train"
"3276","young","M","uni","emp","big","car"
"3277","old","M","high","emp","small","train"
"3278","young","F","high","emp","big","car"
"3279","old","M","high","emp","big","car"
"3280","young","M","high","emp","small","car"
"3281","adult","M","uni","emp","big","other"
"3282","adult","M","uni","emp","big","car"
"3283","adult","M","high","emp","big","car"
"3284","young","M","uni","emp","big","car"
"3285","adult","M","high","emp","small","car"
"3286","adult","M","high","emp","big","car"
"3287","old","M","uni","emp","big","train"
"3288","adult","M","high","emp","big","train"
"3289","old","M","high","emp","big","other"
"3290","adult","M","high","emp","small","car"
"3291","young","M","high","emp","big","train"
"3292","adult","M","high","emp","big","other"
"3293","young","F","high","emp","small","train"
"3294","adult","M","high","emp","big","car"
"3295","adult","M","high","emp","big","car"
"3296","adult","F","high","emp","small","train"
"3297","young","M","high","emp","big","car"
"3298","adult","F","high","emp","big","train"
"3299","old","M","high","emp","small","train"
"3300","adult","F","high","emp","big","other"
"3301","young","F","high","emp","big","car"
"3302","young","M","high","emp","big","other"
"3303","adult","M","high","emp","big","car"
"3304","young","M","high","emp","big","other"
"3305","adult","M","uni","emp","big","car"
"3306","young","M","high","emp","big","other"
"3307","adult","M","high","emp","big","car"
"3308","adult","M","high","emp","big","train"
"3309","adult","F","uni","emp","small","train"
"3310","young","F","uni","emp","big","car"
"3311","old","M","uni","self","big","car"
"3312","young","F","high","emp","small","car"
"3313","adult","M","uni","emp","big","train"
"3314","young","F","high","emp","small","train"
"3315","old","M","uni","emp","small","train"
"3316","adult","M","high","emp","big","car"
"3317","adult","M","high","emp","small","car"
"3318","young","M","high","emp","big","car"
"3319","adult","M","high","emp","big","train"
"3320","old","M","high","emp","big","car"
"3321","old","F","high","emp","big","car"
"3322","adult","M","high","emp","big","other"
"3323","adult","F","high","emp","big","train"
"3324","adult","F","uni","emp","small","train"
"3325","young","M","high","emp","big","train"
"3326","adult","F","uni","emp","big","car"
"3327","young","M","high","emp","small","car"
"3328","adult","M","high","emp","big","car"
"3329","old","F","high","emp","big","car"
"3330","old","M","high","emp","small","train"
"3331","old","F","high","emp","big","car"
"3332","adult","F","high","emp","big","train"
"3333","old","F","uni","emp","big","other"
"3334","adult","M","uni","emp","big","car"
"3335","adult","F","high","emp","small","train"
"3336","young","M","high","emp","big","other"
"3337","adult","F","uni","emp","big","car"
"3338","old","M","uni","emp","big","train"
"3339","adult","F","uni","emp","big","car"
"3340","adult","F","high","self","small","car"
"3341","young","F","uni","emp","big","other"
"3342","young","F","uni","emp","big","car"
"3343","adult","F","uni","emp","big","other"
"3344","adult","M","high","emp","big","train"
"3345","adult","F","uni","emp","small","car"
"3346","adult","M","high","emp","small","train"
"3347","adult","M","uni","emp","big","train"
"3348","adult","F","uni","emp","big","car"
"3349","young","F","high","emp","small","train"
"3350","young","M","high","emp","small","car"
"3351","adult","M","uni","emp","big","car"
"3352","adult","M","high","emp","big","car"
"3353","young","F","high","emp","big","car"
"3354","adult","M","uni","emp","big","car"
"3355","young","F","high","emp","big","train"
"3356","adult","F","high","emp","big","car"
"3357","young","F","uni","emp","big","car"
"3358","adult","F","high","emp","big","car"
"3359","young","F","high","emp","small","train"
"3360","young","M","uni","emp","big","other"
"3361","adult","F","uni","emp","big","train"
"3362","young","F","uni","emp","big","train"
"3363","young","F","uni","emp","big","car"
"3364","old","F","high","emp","big","car"
"3365","old","M","high","emp","big","car"
"3366","adult","M","high","emp","big","car"
"3367","old","F","high","emp","big","train"
"3368","adult","F","high","emp","big","train"
"3369","young","F","high","emp","big","car"
"3370","young","F","high","emp","small","train"
"3371","adult","F","high","self","big","car"
"3372","young","F","high","emp","big","car"
"3373","old","M","high","emp","big","car"
"3374","adult","M","high","emp","big","car"
"3375","young","M","uni","emp","big","car"
"3376","young","M","uni","emp","big","car"
"3377","old","F","high","emp","small","car"
"3378","adult","M","uni","emp","big","car"
"3379","young","M","high","emp","small","other"
"3380","young","M","uni","emp","big","train"
"3381","old","M","high","emp","big","train"
"3382","young","M","uni","emp","big","train"
"3383","old","M","high","emp","big","other"
"3384","adult","M","high","emp","small","car"
"3385","adult","M","uni","emp","big","car"
"3386","old","M","high","emp","big","car"
"3387","adult","F","uni","emp","big","car"
"3388","young","F","high","emp","big","train"
"3389","old","M","high","emp","small","car"
